checkpoint,total_activity,unique_states,state_coverage,experiment,exp_name,avg_intrinsic_reward,std_intrinsic_reward
500000,143,34,0.17894736842105263,Default,exp_000_default,,
1000000,73,30,0.15789473684210525,Default,exp_000_default,,
1500000,128,40,0.21052631578947367,Default,exp_000_default,,
2000000,145,35,0.18421052631578946,Default,exp_000_default,,
2500000,143,60,0.3157894736842105,Default,exp_000_default,,
500000,130,41,0.21578947368421053,k=12,exp_001_k_5,-0.2204741984605789,0.2084081470966339
1000000,103,35,0.18421052631578946,k=12,exp_001_k_5,-0.2837438285350799,0.2785249650478363
1500000,131,23,0.12105263157894737,k=12,exp_001_k_5,-0.2219875007867813,0.194371297955513
2000000,117,42,0.22105263157894736,k=12,exp_001_k_5,-0.1919551193714141,0.1560536623001098
2500000,126,41,0.21578947368421053,k=12,exp_001_k_5,-0.1726876944303512,0.135671317577362
500000,129,56,0.29473684210526313,k=12,exp_002_k_25,-0.1840980648994445,1.113028883934021
1000000,192,44,0.23157894736842105,k=12,exp_002_k_25,-0.4189751744270324,0.6798950433731079
1500000,131,34,0.17894736842105263,k=12,exp_002_k_25,-0.4743610918521881,0.4144614338874817
2000000,110,31,0.1631578947368421,k=12,exp_002_k_25,-0.4933852851390838,0.1792964190244674
2500000,109,40,0.21052631578947367,k=12,exp_002_k_25,-0.4340675771236419,0.1414298564195633
500000,150,43,0.22631578947368422,k=12,exp_003_k_50,-0.8357298970222473,0.599555253982544
1000000,149,31,0.1631578947368421,k=12,exp_003_k_50,-0.6820994019508362,0.2649614512920379
1500000,186,26,0.1368421052631579,k=12,exp_003_k_50,-0.4015119671821594,0.2618004381656647
2000000,120,26,0.1368421052631579,k=12,exp_003_k_50,-0.4377690553665161,0.1326065957546234
2500000,5,5,0.02631578947368421,k=12,exp_003_k_50,-0.3909629583358764,0.1089219450950622
500000,39,25,0.13157894736842105,k=12,exp_004_k_100,-0.3687065541744232,0.5859377384185791
1000000,107,36,0.18947368421052632,k=12,exp_004_k_100,-0.7863669991493225,0.674306333065033
1500000,129,38,0.2,k=12,exp_004_k_100,-0.3717614412307739,0.5578445792198181
2000000,132,29,0.15263157894736842,k=12,exp_004_k_100,-0.4399087131023407,0.2311149537563324
2500000,101,41,0.21578947368421053,k=12,exp_004_k_100,-0.3894505202770233,0.1855861991643905
500000,231,51,0.26842105263157895,ent_coef=0.01,exp_005_ent_coef_0,0.2282478511333465,1.0073047876358032
1000000,191,58,0.30526315789473685,ent_coef=0.01,exp_005_ent_coef_0,-0.685879647731781,0.3077358305454254
1500000,106,28,0.14736842105263157,ent_coef=0.01,exp_005_ent_coef_0,-0.4449764490127563,0.230462908744812
2000000,79,25,0.13157894736842105,ent_coef=0.01,exp_005_ent_coef_0,-0.4330644607543945,0.1538649201393127
2500000,75,31,0.1631578947368421,ent_coef=0.01,exp_005_ent_coef_0,-0.3828136324882507,0.1286282539367675
500000,122,38,0.2,ent_coef=0.01,exp_006_ent_coef_0.005,-0.0023864347022026,1.1155909299850464
1000000,139,43,0.22631578947368422,ent_coef=0.01,exp_006_ent_coef_0.005,-0.4871819615364074,0.6434546709060669
1500000,132,41,0.21578947368421053,ent_coef=0.01,exp_006_ent_coef_0.005,-0.4645165801048279,0.2295857518911361
2000000,118,29,0.15263157894736842,ent_coef=0.01,exp_006_ent_coef_0.005,-0.4882929623126983,0.2191509157419204
2500000,119,33,0.1736842105263158,ent_coef=0.01,exp_006_ent_coef_0.005,-0.4249164164066314,0.1779916584491729
500000,166,35,0.18421052631578946,ent_coef=0.01,exp_007_ent_coef_0.02,-0.0155624412000179,0.8725642561912537
1000000,120,27,0.14210526315789473,ent_coef=0.01,exp_007_ent_coef_0.02,-0.6774010062217712,0.3995048105716705
1500000,169,38,0.2,ent_coef=0.01,exp_007_ent_coef_0.02,-0.3940431177616119,0.358516126871109
2000000,152,34,0.17894736842105263,ent_coef=0.01,exp_007_ent_coef_0.02,-0.4118358492851257,0.1852288246154785
2500000,91,31,0.1631578947368421,ent_coef=0.01,exp_007_ent_coef_0.02,-0.3640257716178894,0.1536899656057357
500000,115,44,0.23157894736842105,ent_coef=0.01,exp_008_ent_coef_0.05,0.4302530884742737,0.9183986783027648
1000000,107,43,0.22631578947368422,ent_coef=0.01,exp_008_ent_coef_0.05,0.0453445166349411,1.1425843238830566
1500000,130,35,0.18421052631578946,ent_coef=0.01,exp_008_ent_coef_0.05,0.0101358341053128,0.6839508414268494
2000000,122,28,0.14736842105263157,ent_coef=0.01,exp_008_ent_coef_0.05,-0.4388554394245147,0.7651631236076355
2500000,100,43,0.22631578947368422,ent_coef=0.01,exp_008_ent_coef_0.05,-0.4766174554824829,0.4036964476108551
500000,132,38,0.2,ent_coef=0.01,exp_009_ent_coef_0.1,-0.0788277611136436,0.5680837035179138
1000000,128,29,0.15263157894736842,ent_coef=0.01,exp_009_ent_coef_0.1,-0.1675447970628738,0.8122624158859253
1500000,150,31,0.1631578947368421,ent_coef=0.01,exp_009_ent_coef_0.1,-0.4141614437103271,0.3512847125530243
2000000,154,30,0.15789473684210525,ent_coef=0.01,exp_009_ent_coef_0.1,-0.347613662481308,0.2603169083595276
2500000,94,34,0.17894736842105263,ent_coef=0.01,exp_009_ent_coef_0.1,-0.3063880205154419,0.2160527557134628
