seed,frequency,entropy,decay,step,data_quality_score,has_issues,total_issues,episodes_analyzed
,,0.0,,100000,200.0,True,14,5
,,0.0,,200000,200.0,True,13,5
,,0.0,,300000,200.0,True,18,5
,,0.0,,400000,200.0,True,15,5
,,0.0,,500000,200.0,True,17,5
,,0.0,,600000,200.0,True,15,5
,,0.0,,700000,200.0,True,16,5
,,0.0,,800000,200.0,True,17,5
,,0.0,,900000,200.0,True,17,5
,,0.0,,1000000,200.0,True,20,5
,,0.0,,1100000,200.0,True,21,5
,,0.0,,1200000,200.0,True,18,5
,,0.0,,1300000,200.0,True,16,5
,,0.0,,1400000,200.0,True,21,5
,,0.0,,1500000,200.0,True,17,5
,,0.0,,1600000,200.0,True,20,5
,,0.0,,1700000,200.0,True,20,5
,,0.0,,1800000,200.0,True,20,5
,,0.0,,1900000,200.0,True,21,5
,,0.0,,2000000,200.0,True,21,5
,,0.0,,final,200.0,True,21,5
,,0.001,,100000,200.0,True,16,5
,,0.001,,200000,200.0,True,14,5
,,0.001,,300000,200.0,True,15,5
,,0.001,,400000,200.0,True,12,5
,,0.001,,500000,200.0,True,15,5
,,0.001,,600000,200.0,True,20,5
,,0.001,,700000,200.0,True,19,5
,,0.001,,800000,200.0,True,19,5
,,0.001,,900000,200.0,True,20,5
,,0.001,,1000000,200.0,True,14,5
,,0.001,,1100000,200.0,True,18,5
,,0.001,,1200000,200.0,True,17,5
,,0.001,,1300000,200.0,True,21,5
,,0.001,,1400000,200.0,True,18,5
,,0.001,,1500000,200.0,True,16,5
,,0.001,,1600000,200.0,True,20,5
,,0.001,,1700000,200.0,True,20,5
,,0.001,,1800000,200.0,True,20,5
,,0.001,,1900000,200.0,True,19,5
,,0.001,,2000000,200.0,True,19,5
,,0.001,,final,200.0,True,20,5
,,0.01,,100000,200.0,True,13,5
,,0.01,,200000,200.0,True,16,5
,,0.01,,300000,200.0,True,12,5
,,0.01,,400000,200.0,True,18,5
,,0.01,,500000,200.0,True,18,5
,,0.01,,600000,200.0,True,18,5
,,0.01,,700000,200.0,True,15,5
,,0.01,,800000,200.0,True,15,5
,,0.01,,900000,200.0,True,14,5
,,0.01,,1000000,200.0,True,17,5
,,0.01,,1100000,200.0,True,15,5
,,0.01,,1200000,200.0,True,17,5
,,0.01,,1300000,200.0,True,17,5
,,0.01,,1400000,200.0,True,20,5
,,0.01,,1500000,200.0,True,16,5
,,0.01,,1600000,200.0,True,20,5
,,0.01,,1700000,200.0,True,16,5
,,0.01,,1800000,200.0,True,17,5
,,0.01,,1900000,200.0,True,16,5
,,0.01,,2000000,200.0,True,16,5
,,0.01,,final,200.0,True,14,5
,,0.1,,100000,200.0,True,20,5
,,0.1,,200000,200.0,True,20,5
,,0.1,,300000,200.0,True,18,5
,,0.1,,400000,200.0,True,19,5
,,0.1,,500000,200.0,True,18,5
,,0.1,,600000,200.0,True,19,5
,,0.1,,700000,200.0,True,18,5
,,0.1,,800000,200.0,True,17,5
,,0.1,,900000,200.0,True,19,5
,,0.1,,1000000,200.0,True,18,5
,,0.1,,1100000,200.0,True,16,5
,,0.1,,1200000,200.0,True,20,5
,,0.1,,1300000,200.0,True,17,5
,,0.1,,1400000,200.0,True,14,5
,,0.1,,1500000,200.0,True,19,5
,,0.1,,1600000,200.0,True,17,5
,,0.1,,1700000,200.0,True,15,5
,,0.1,,1800000,200.0,True,19,5
,,0.1,,1900000,200.0,True,18,5
,,0.1,,2000000,200.0,True,14,5
,,0.1,,final,200.0,True,15,5
