"flag_id","object_type","object_index","state_name","activity_count"
"0","alligator_busy_box","0","infovofrobot","10"
"1","alligator_busy_box","0","inhandofrobot","1"
"2","alligator_busy_box","0","inreachofrobot","1"
"3","alligator_busy_box","0","toggled","0"
"4","music_toy","0","infovofrobot","14"
"5","music_toy","0","inhandofrobot","0"
"6","music_toy","0","inreachofrobot","2"
"7","music_toy","0","noise","2"
"8","music_toy","0","toggled","1"
"9","farm_toy","0","infovofrobot","10"
"10","farm_toy","0","inhandofrobot","0"
"11","farm_toy","0","inreachofrobot","2"
"12","farm_toy","0","popup","7"
"13","farm_toy","0","toggled","7"
"14","piggie_bank","0","infovofrobot","14"
"15","piggie_bank","0","inhandofrobot","0"
"16","piggie_bank","0","inreachofrobot","4"
"17","piggie_bank","0","noise","48"
"18","piggie_bank","0","open","33"
"19","piggie_bank","0","toggled","33"
"20","rattle","0","infovofrobot","18"
"21","rattle","0","inhandofrobot","0"
"22","rattle","0","inreachofrobot","2"
"23","rattle","0","noise","4"
"24","winnie_cabinet","0","infovofrobot","20"
"25","winnie_cabinet","0","inhandofrobot","0"
"26","winnie_cabinet","0","inreachofrobot","2"
"27","winnie_cabinet","0","open","0"
"28","winnie_cabinet","0","toggled","0"
