"flag_id","object_type","object_index","state_name","activity_count"
"0","alligator_busy_box","0","infovofrobot","34"
"1","alligator_busy_box","0","inhandofrobot","0"
"2","alligator_busy_box","0","inreachofrobot","0"
"3","alligator_busy_box","0","toggled","0"
"4","music_toy","0","infovofrobot","34"
"5","music_toy","0","inhandofrobot","0"
"6","music_toy","0","inreachofrobot","2"
"7","music_toy","0","noise","2"
"8","music_toy","0","toggled","1"
"9","farm_toy","0","infovofrobot","16"
"10","farm_toy","0","inhandofrobot","0"
"11","farm_toy","0","inreachofrobot","2"
"12","farm_toy","0","popup","8"
"13","farm_toy","0","toggled","8"
"14","piggie_bank","0","infovofrobot","27"
"15","piggie_bank","0","inhandofrobot","0"
"16","piggie_bank","0","inreachofrobot","4"
"17","piggie_bank","0","noise","6"
"18","piggie_bank","0","open","4"
"19","piggie_bank","0","toggled","4"
"20","rattle","0","infovofrobot","23"
"21","rattle","0","inhandofrobot","0"
"22","rattle","0","inreachofrobot","0"
"23","rattle","0","noise","0"
"24","winnie_cabinet","0","infovofrobot","11"
"25","winnie_cabinet","0","inhandofrobot","1"
"26","winnie_cabinet","0","inreachofrobot","1"
"27","winnie_cabinet","0","open","0"
"28","winnie_cabinet","0","toggled","0"
