flag_id,object_type,object_index,state_name,activity_count
0,alligator_busy_box,0,infovofrobot,5
1,alligator_busy_box,0,inhandofrobot,0
2,alligator_busy_box,0,inreachofrobot,2
3,alligator_busy_box,0,toggled,4
4,music_toy,0,infovofrobot,9
5,music_toy,0,inhandofrobot,0
6,music_toy,0,inreachofrobot,0
7,music_toy,0,noise,0
8,music_toy,0,toggled,0
9,farm_toy,0,infovofrobot,6
10,farm_toy,0,inhandofrobot,2
11,farm_toy,0,inreachofrobot,4
12,farm_toy,0,popup,91
13,farm_toy,0,toggled,91
14,piggie_bank,0,infovofrobot,5
15,piggie_bank,0,inhandofrobot,0
16,piggie_bank,0,inreachofrobot,1
17,piggie_bank,0,noise,65
18,piggie_bank,0,open,60
19,piggie_bank,0,toggled,60
20,rattle,0,infovofrobot,10
21,rattle,0,inhandofrobot,2
22,rattle,0,inreachofrobot,2
23,rattle,0,noise,8
24,winnie_cabinet,0,infovofrobot,3
25,winnie_cabinet,0,inhandofrobot,0
26,winnie_cabinet,0,inreachofrobot,2
27,winnie_cabinet,0,open,0
28,winnie_cabinet,0,toggled,0
